date,SP500_Daily_P/E
2018-02-02,23.5086
2018-02-05,22.525415829681627
2018-02-06,22.969217754713718
2018-02-07,22.8446049487527
2018-02-08,21.987731912399862
2018-02-09,22.318023795944903
2018-02-12,22.64574990229794
2018-02-13,22.702075586892178
2018-02-14,23.00847531600331
2018-02-15,23.302069564191495
2018-02-16,23.30889066969112
2018-02-20,23.16295441211783
2018-02-21,23.047731414478076
2018-02-22,23.077605018705672
2018-02-23,23.44544589583205
2018-02-26,23.717699138630156
2018-02-27,23.421550815768505
2018-02-28,23.184288103433826
2018-03-01,22.8766
2018-03-02,22.99452732295283
2018-03-05,23.2602925902739
2018-03-06,23.31925844879904
2018-03-07,23.31071192923786
2018-03-08,23.423523058047206
2018-03-09,23.831148832490733
2018-03-12,23.80123674637616
2018-03-13,23.647414041266348
2018-03-14,23.52606371639159
2018-03-15,23.500430016504648
2018-03-16,23.525914317077923
2018-03-19,23.20759857352442
2018-03-20,23.24707221571362
2018-03-21,23.20245308539787
2018-03-22,22.62245126166604
2018-03-23,22.140264976809117
2018-03-26,22.746000099970335
2018-03-27,22.359060271672934
2018-03-28,22.292989157553727
2018-03-29,22.5778379901469
2018-04-02,21.6203
2018-04-03,21.897401291750093
2018-04-04,22.13168757333107
2018-04-05,22.306349362396432
2018-04-06,21.809232503440203
2018-04-09,21.91671513753335
2018-04-10,22.26520153864801
2018-04-11,22.14848128693241
2018-04-12,22.330703472543522
2018-04-13,22.26520153864801
2018-04-16,22.448262334797462
2018-04-17,22.688423190713767
2018-04-18,22.705214037270526
2018-04-19,22.57925616793248
2018-04-20,22.387797798221204
2018-04-23,22.384450523679245
2018-04-24,22.082985087126044
2018-04-25,22.13756501471097
2018-04-26,22.362615112191786
2018-04-27,22.38361191314089
2018-04-30,22.211463088646006
2018-05-01,22.0874
2018-05-02,21.939039351587763
2018-05-03,21.890691937522405
2018-05-04,22.174092650903688
2018-05-07,22.24911680653613
2018-05-08,22.24911680653613
2018-05-09,22.46417002035967
2018-05-10,22.674221434076106
2018-05-11,22.743407073111236
2018-05-14,22.754244543841214
2018-05-15,22.597535229361128
2018-05-16,22.692569431396528
2018-05-17,22.67339040953484
2018-05-18,22.616705713299453
2018-05-21,22.78674984109501
2018-05-22,22.723397026708273
2018-05-23,22.785918816553743
2018-05-24,22.739234874558154
2018-05-25,22.68506175078054
2018-05-29,22.42415135054098
2018-05-30,22.723397026708273
2018-05-31,22.58420183903288
2018-06-01,22.1944
2018-06-04,22.299853470559338
2018-06-05,22.316075377007643
2018-06-06,22.502654997776535
2018-06-07,22.500217695800348
2018-06-08,22.566736652120827
2018-06-11,22.59675147202526
2018-06-12,22.625963090142097
2018-06-13,22.553763558420318
2018-06-14,22.610544385481393
2018-06-15,22.581698362660987
2018-06-18,22.535251142046665
2018-06-19,22.448875098773645
2018-06-20,22.48717397573576
2018-06-21,22.346210677180224
2018-06-22,22.38695101061054
2018-06-25,22.082201019255443
2018-06-26,22.131089696337952
2018-06-27,21.947749194502183
2018-06-28,22.07323562550895
2018-06-29,22.105013334854117
2018-07-02,21.599
2018-07-03,21.52273283667072
2018-07-05,21.698318523225147
2018-07-06,21.881847693276953
2018-07-09,22.078877949762617
2018-07-10,22.158328987660454
2018-07-11,21.99625248900188
2018-07-12,22.19566862604846
2018-07-13,22.213147530327507
2018-07-16,22.19328409573121
2018-07-17,22.283068548418363
2018-07-18,22.32993280563868
2018-07-19,22.24572215881202
2018-07-20,22.220299771035585
2018-07-23,22.26161452678145
2018-07-24,22.373640193163812
2018-07-25,22.564314852705355
2018-07-26,22.511085546835247
2018-07-27,22.35854041822734
2018-07-30,22.241753792672494
2018-07-31,22.35139222825026
2018-08-01,22.2526
2018-08-02,22.373831747075418
2018-08-03,22.46969764328053
2018-08-06,22.55209558957561
2018-08-07,22.626567885683706
2018-08-08,22.617064107392878
2018-08-09,22.586164035953672
2018-08-10,22.43483878632487
2018-08-13,22.350853286246146
2018-08-14,22.4934570890076
2018-08-15,22.32549416800427
2018-08-16,22.50614674707118
2018-08-17,22.58537227885038
2018-08-20,22.63370716487016
2018-08-21,22.686795286561043
2018-08-22,22.67332464359966
2018-08-23,22.64321363621237
2018-08-24,22.779495500878685
2018-08-27,22.959345550636822
2018-08-28,22.970435536185608
2018-08-29,23.09403043583972
2018-08-30,23.000535771367414
2018-08-31,23.00133830067619
2018-09-04,22.3482
2018-09-05,22.28805110585703
2018-09-06,22.220964172547404
2018-09-07,22.17777638586474
2018-09-10,22.21634056049981
2018-09-11,22.289597552063423
2018-09-12,22.294989145023692
2018-09-13,22.426859068904935
2018-09-14,22.430714700039864
2018-09-17,22.311958115769787
2018-09-18,22.433029127158925
2018-09-19,22.45692827378589
2018-09-20,22.638916160230664
2018-09-21,22.61822785530342
2018-09-24,22.54309678062527
2018-09-25,22.522183061505228
2018-09-26,22.45478946004959
2018-09-27,22.517533238504985
2018-09-28,22.519860771100372
2018-10-01,20.483
2018-10-02,20.471064127601036
2018-10-03,20.482296771849107
2018-10-04,20.32221258514783
2018-10-05,20.2084701832822
2018-10-08,20.2084701832822
2018-10-09,20.178982116360228
2018-10-10,19.54004707431536
2018-10-11,19.109650064030873
2018-10-12,19.375053357297112
2018-10-15,19.266226425175397
2018-10-16,19.68749691200833
2018-10-17,19.691009489106634
2018-10-18,19.40664516924482
2018-10-19,19.396111001606084
2018-10-22,19.30904969348579
2018-10-23,19.210755741117424
2018-10-24,18.628699027317715
2018-10-25,18.962901078718005
2018-10-26,18.629396316041653
2018-10-29,18.52618451815859
